image_filename;description
alho1.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Rico em alicina, possui potente ação antimicrobiana contra bactérias, vírus e fungos.
alho2.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a reduzir a pressão arterial por promover relaxamento dos vasos sanguíneos.
alho3.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para redução do colesterol LDL e melhora do perfil lipídico.
alho4.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui forte ação antioxidante, combatendo radicais livres.
alho5.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Estimula o sistema imunológico, aumentando a resistência a infecções.
alho6.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como anti-inflamatório natural, ajudando em processos inflamatórios crônicos.
Cuphea_carthagenensis1.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui ação vasodilatadora suave, auxiliando na regulação da pressão arterial.
Cuphea_carthagenensis2.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como diurético natural, ajudando na eliminação de líquidos.
Cuphea_carthagenensis3.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para eliminação de toxinas do sangue e fígado.
Cuphea_carthagenensis4.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a regular a circulação sanguínea.
Cuphea_carthagenensis5.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui propriedades anti-inflamatórias e antioxidantes.
Cuphea_carthagenensis6.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Auxilia no controle da arritmia e palpitações cardíacas.
Cuphea_carthagenensis7.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Facilita a eliminação do ácido úrico, podendo ajudar em casos de gota.
hibisco1.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui forte efeito diurético, ajudando a reduzir retenção de líquidos.
hibisco2.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Rico em antocianinas, potentes antioxidantes que combatem radicais livres.
hibisco3.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Auxilia na redução da pressão arterial em casos leves a moderados.
hibisco4.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para redução do colesterol LDL.
hibisco5.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a regular o metabolismo de gorduras.
hibisco6.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui ação hepatoprotetora, protegendo o fígado.
hibisco7.png;Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como anti-inflamatório natural.
gengibre_1.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Contém gingerol e shogaol, compostos bioativos com forte ação anti-inflamatória.
gengibre_2.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Ajuda a reduzir náuseas e enjoo, inclusive em gravidez e viagens.
gengibre_3.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Possui potente ação antioxidante, protegendo células do estresse oxidativo.
gengibre_4.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Estimula a digestão e produção de enzimas digestivas.
gengibre_5.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Ajuda a reduzir dores musculares e articulares.
gengibre_6.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Contribui para fortalecer o sistema imunológico.
gengibre_7.png;Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Pode auxiliar no controle da glicemia.
carqueja_1.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Estimulam a produção de bile, facilitando digestão de gorduras.
carqueja_2.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Reduzem má digestão e sensação de estômago pesado.
carqueja_3.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Ajudam no controle de gases e distensão abdominal.
